Chi°	去	to go.
Chi°-lih	氣力	strength.
Chi°-tse	去哉	good-by, gone.
Choen°	勸	to exhort.
Choen°-°mien	勸勉	to exhort.
Choen°-‘oo	勸和	to exhort.
Chung	輕	light (in weight).
Chung-chung-nung	輕輕能	gently.
Chung-°dzoong	輕重	weight.
Chuh	吃	to eat.
Chuh-°khoo	吃苦	to meet with misfortune.
Chuh-van°	吃飯	eat a meal.
Chuh-van°-de-°ts	吃飯檯子	a dining table.
Chuh-van°-kan	吃飯間	a dining room.
Da°	埭	classifier of rows of things.
Da°-i-zaung-kuh	汏衣裳個	a washerman.
Da°-ka	大家	together.
Da°-ke°	大概	all in general, most.
Da°-liak	大略	for the most part, generally.
Da°-°s-voo°	大司務	the chief cook.
Da°-tshing-kok	大清國	(Former name of) China.
Dan°	蛋	an egg.
Dan°-°z	但是	but.
Dau-nyung-ts	道認之	to suppose; to think.
Dau-°ts	桃子	a peach.
°Dau-za	稻柴	a bundle of fuel.
°Dau	稻	a plant of rice.
Dau°-°z	道士	Taoist priest.
Daung	糖	sugar.
De-°ts	檯子	a table.
De°	兌	to exchange a dollar into cash.
°De	待	to deport oneself, to treat others.
°De-man°	待慢	to treat rudely.
De°-thi°	代替	instead of.
Deu	頭	head, the chief, the first.
Deu-fah	頭髮	hair on the head.
Deu-°ts	骰子	dice.
Di	啼	to crow.
°Di	第	this, the, a series.
°Di-deu	第頭	here.
°Di-°di	弟弟	young brethern.
°Di-hyoong	弟兄	brothers.
°Di-ih	第一	the first.
°Di-kuh	第個	this, these.
°Di-mien	第面	the side, here.
°Di-yang	第樣	this sort.
Di°	地	the earth.
Di°-faung	地方	place.
Di°-jeu	地球	the earth.
Di°-°li-doo	地理圖	a map, a chart.
Diau	條	classifier for long, winding, or limber objects.
Diau°	調	to exchange, to barter.
Diau°-bi	調皮	tricky.
Dien	甜	sweet.
Dih	笛	a flute.
Dih-’veh-dzu°	敵勿住	to unable to oppose.
Ding	停	to stop.
Ding-ih-ding	停一停	stop a minute.
Doen°-°ts	緞子	a piece of satin.
Dok	讀	to read.
Dok-su	讀書	to study.
Dok-su-nyung	讀書人	a scholar.
Dok-°z	獨是	but, only.
Doo	圖	a map, a chart.
Doo°	大	large.
Doo°-°siau	大小	size.
°Doong	桶	classifier for tubes and buckets, a bucket.
Doong-‘oo	銅壺	a copper kettle.
Doong	銅	brass.
Doong	同	with.
Doong-dien	銅錢	a cash.
°Doong	動	lift, to move, to excite.
°Doong	動	to move a thing.
°Doong-°‘a-’veh-°doong	動也勿動	immovable.
°Doong-°lau-°doong	動佬動	loose, unstable.
°Doong-°seu	動手	to commence work.
°Doong-sung	動身	to start (on a journey).
Dung°	鈍	dull.
Dzan-vaung	棧房	a godown.
Dzan°	賺	to gain or make a profit.
Dzan°-deu	賺頭	profit in business.
Dzang	長	long.
Dzang-bung-°ts	長盆子	a dish.
Dzang-dzang	常常	always.
Dzang-°toen	長短	length.
Dzang-tsaung	常莊	always.
Dzang-°yoen	長遠	a long time.
Dzang-°yoen-tse	長遠哉	a long time.
Dzang-°z	常是	sometimes.
°Dzang	丈	ten feet.
Dzau	潮	tide.
Dzau-°s	潮水	tide.
Dzaung°	幢	classifier denoting things piled one on top of the other.
Dze-nga°	在外	besides, in addition.
Dzeu	綢	silk.
Dzeu°	授	to hand, to deliver in person.
Dzien	錢	1⁄10 Of an ounce of silver.
Dzo	茶	tea.
Dzo	查	examine carefully.
Dzo-bung-°ts	茶盆子	saucer.
Dzo-°khau	查考	to examine carefully.
Dzo-kwen°	茶館	a tea shop.
Dzo-‘oo	茶壺	a teapot.
Dzo-yih	茶葉	tea leaves.
Dzoe-bien°	隨便	whichever.
Dzoe-bien°-°kyi-z	隨便幾時	whatever time you please.
Dzoe-bien°-sa°	隨便啥	whatever, no matter what.
Dzoong	從	from.
°Dzoong	重	heavy.
Dzu	除	to take off (a hat).
Dzu-vaung	厨房	a kitchen.
Dzu°	住	to live.
Dzu°-la°	住拉	to live.
Dzuh-tau°	直到	until.
Dzung	層	classifier for stories of a house or ladder.
Dzung	城	a city.
Dzung-jeu°	仍舊	still, yet.
Dzung-koong	成功	to complete.
E°	愛	to love.
En°	暗	dark.
En°-en°-°li	暗暗裏	secretly.
‘E°	害	to injure.
‘Eh-thien-‘au°	合天下	universal.
‘Eu-°ts	兒子	a son.
‘Eu°	候	after.
°‘Eu	厚	thick.
°‘Eu-bok	厚薄	thickness.
°‘Eu-deu	後頭	behind.
°‘Eu-le	後來	afterwards.
°‘Eu-nyih	後日	day after to-morrow.
°‘Eu-°seu	後首	afterwards.
°‘En-°ti	後底	behind.
°‘Eu-°ti-deu	後底頭	behind.
Fah-dze	發財	to become rich.
Fah-kok	法國	France.
Fan	翻	to turn over.
Fan-°tsen-le	翻轉來	to turn over.
Faung	方	square.
Faung	方	one hundred square feet.
Faung-tshak	方尺	a square foot.
Faung°	放	to place, let go.
Faung°-‘auh	放學	to dismiss school.
Fi	飛	to fly.
Fi-theh	廢脫	to waste.
Fok	幅	classifier for paintings or engravings.
Fok-chi°	福氣	happiness.
Foo-tshi	夫妻	husband and wife.
°Foo-deu	斧頭	an ax.
Foo°	付	to pay.
Foong	封	classifier of letters and sealed parcels.
Foong	風	wind.
Foong	封	to seal officially, to seal, to exalt to a high position.
Fung	分	a cent.
Fung	分	to separate.
Fung	分	1⁄10 of an inch, 1⁄10 of a dzien.
Fung-khe	分開	to separate.
Fung-bih	分別	a difference; to distinguish.
°Fung	粉	to plaster.
°Fung-pih	粉壁	to plaster a wall.
Han-deu	壗頭	place.
Han°	喊	to call.
°Hau	好	good, very, superlative.
°Hau-siau°	好笑	laughable.
°Hau-tse	好哉	completed action.
°Hau-tshu°	好處	advantage, profit.
°Hau-°ziang	好像	as if, like.
°Hoo	火	fire.
°Hoo-dzak-tse	火着哉	on fire.
°Hoo-khaung°	火炕	a grate.
°Hoo-loo	火爐	a stove.
°Hoo-lung-tsho	火輪車	a railway engine.
°Hoo-lung-zen	火輪船	a steam boat.
°Hoo-yak	火藥	gunpowder.
Hoo°-suh	貨色	merchandize.
°Hoo-yeu	火油	kerosene.
Hoong	烘	to bake.
Huh	黑	black.
°Hwaung-°tshia	况且	moreover.
Hwe°-ke	悔改	to repent.
°Hwe-paung°	毀謗	to slander.
Hweh-zen	忽然	suddenly.
Hwen-°hyi	歡喜	to like, to enjoy.
Hwo	花	a flowering plant.
Hwo	花	cotton, flower.
Hwo-ji	花萁	cotton stalks.
Hwo-ji-kok	花旗國	America.
Hwo-‘oong	花紅	a crab apple.
Hwo-°ts	花子	cotton seed.
Hwo-°tshau-zu°-mok	花草樹木	vegetation in general.
Hwo-yoen	花園	a garden.
°Hyau-tuh	曉得	to know.
Hyi-ji	希奇	to wonder, to be surprised.
Hyi°-siau°	戲笑	to ridicule.
Hyih	歇	to rest.
Hyih-ih-hyih	歇一歇	to wait a little.
Hyih-khe-le	揭開來	to open a box.
Hyoong	凶	fierce.
Hyoong-°di	兄弟	a young brother, brothers.
°Hyui	許	to permit.
Hyuin	燻	to roast (meat).
I-deu	伊頭	there.
I-°hau	醫好	to heal.
I-kuh	伊個	that, those.
I-khwe°	伊塊	there.
°I-kyung	已經	already.
I-nyih-°ts	伊日子	at that time.
I°-s°	意思	thought, meaning.
I-sung	醫生	a doctor.
°I-°‘eu	以後	afterwards, hereafter.
°I-ts°	以致	so that.
°I-tuh-koo°	以得過	permissible and proper, leading to no embarrassment.
I°-’veh-koo°	意勿過	unpermission, because very embarrassing.
I-yoen	醫院	hospital.
I-zaung	衣裳	a garment.
Iak-kwe	約親	about.
Iak-tsak	約着	about.
Iau°	要	to want, to wish, will.
Iau°-°kyung-kuh	要緊個	it is important.
Ien	烟	tobacco.
Ien-me	烟煤	soft coal.
Ien-tshoong	烟囱	a chimney.
°Ien-seu	演手	to make motions.
Ien°-°ts	燕子	a swallow.
Ih	一	a, one.
Ih-dau	一淘	together, with.
Ih-ding°-iau°	一定要	must.
Ih-fung	一分	one cent.
Ih-kauh	一角	ten cents.
Ih-ngan-’veh	一顏勿	not at all.
Ih-pak	一百	one hundred.
Ih-sang-ih-s°	一生一世	all one’s life.
Ih-thaung	一趟	one time.
Ih-we	一回	one time.
Iuh-tshu°	益處	advantage, profit.
Iui°-°ts	椅子	a chair.
Iung	鷹	a hawk.
Iung-°hyui	應許	a promise.
Iung-ke	應該	ought.
Inng-kok	英國	England.
Iung-we°	因爲	because.
Jang	強	cheap.
Jang-dau°	強盜	a robber.
Jau	橋	a bridge.
Jau°-foo	轎夫	a sedan chair coolie.
Jau°-don	轎班	a sedan chair coolie.
Jau°-°ts	轎子	a sedan chair.
Jeu	求	to pray.
Jeu°	舊	old.
Jeu°-nyien	舊年	the last year.
Ji	旗	a flag.
Jien	掮	carry on the shoulder.
Jien°	件	classifier of garments, baggage and affairs, an affair.
Juh	極	forms superlative degree.
°Jui	跽	to kneel.
°Jung	近	near.
°Jung	近	recently.
°Jung-z°-°ngan	近視眼	near-sighted.
Ka	街	a street.
Ka	加	to add.
Ka-°hoo	傢伙	furniture.
Ka-sang	傢生	tools, implements.
Ka-°thien	加添	to add.
°Ka	假	false.
°Ka-seh	解說	to explain.
Ka°	鋸	to saw.
Ka°-dien	價錢	price.
Kah-pih	隔壁	next (juxtaposition).
Kan	間	a room.
Kan-nyih-we°	間日會	will see you in a day or two.
Kau	高	high.
Kau-°ti	高底	height.
Kau°	教	to teach.
Kau°-hwo-°ts	教花子	a beggar.
Kau°-soo°	告訴	to tell, to narrate.
Kau°-z°	告示	a proclamation.
Kauh	角	a ten cent piece.
Kauh	各	every.
Kauh-tau°-lauh-°tshu	各到落處	everywhere.
Kauh-°tshu	各處	everywhere.
Kaung	扛	to carry (two men with bamboo pole).
°Kaung	講	to expound, to explain.
°Kaung-ding°	講定	to settle the price.
°Kaung-su	講書	to preach.
Ke°-ts	鋸子	a saw.
Keh-°lau	蓋老	therefore.
Keh-ts	鴿子	a pigeon.
°Keu	狗	a dog.
Keu°-°z	彀是	sufficient, enough.
Keu-°z-tse	彀是哉	sufficient.
Kha	揩	to wipe.
Kha-mien°-de-°ts	揩面檯子	a washstand.
°Kha-weh	快活	happy.
Kha-chi°	客氣	politeness.
Khak-daung-kan	客堂間	a guest room.
Khak-nyung	客人	a guest, a visitor.
Khan	鉛	lead.
Khan khan	纔纔	just now, a little while ago.
Khan-pih	鉛筆	a lead pencil.
Khau	敲	to knock, strike.
°Khau-°i	可以	can, may.
°Khau-su	考書	to examine a class.
Khau°	靠	to rely upon, to trust.
Khau°-thauh	靠託	to rely upon, to trust.
Khaung°	囥	to hide a thing.
Khaung°-°loong	囥攏	to hide a thing.
Khe	開	to open, open, opens.
Khe-‘auh	開學	to open school.
Khe-dzang	開塲	a beginning.
Khe-koong	開工	to commence work.
Khe-le	開來	to open wide.
Khe nyien	開年	next year.
Khe-°s	開水	boiling water.
Kheh-deu	磕頭	to kowtow.
°Kheu	口	classifier of furniture.
°Kheu	口	a mouth.
Khoen°	看	to see.
Khoen°-°hau	看好	to heal.
Khoen°-kyien°	看見	seen.
Khok	哭	to cry.
Khoo	棵	classifier of plants, trees, and flowers.
°Khoo	苦	bitter.
°Khoo-°nau	苦腦	misery.
Khoo°-°ts	褲子	trousers.
Khoong-pho°	恐怕	perhaps.
°Khung	肯	to be willing.
Koeh	割	to cut (with a sharp knife).
Koeh-°doen	割斷	to cut in two.
Koen	乾	dry.
Koen-mien°	乾麵	flour.
Koen-po-nyung	干巴人	a man or two.
Koen-zing°	乾淨	clean.
°Koen	趕	to drive away.
°Koen-theh	趕脫	to drive away.
Koo	鼓	a drum.
°Koo-z-kan	古時間	antiquity, anciently.
Koo°	過	to pass over.
Koo°-i	故意	purposely.
Koo°-nyien	過年	to pass from the old to the new year.
Koo°-nyih-°ts	過日子	some past time.
Koo°-s°	過世	to die.
Koo°-tse	過哉	forms past tense.
Koong-dien	工錢	wages.
Koong-foo	功夫	time, work.
Koong-°hyi	恭喜	to congratulate.
Koong-laung	公郎	a son.
Koong-°tang	攻打	to attack an enemy.
Koong-°tsoong	共總	all.
Kuh	个	or 個, of; sign of the genitive; a general classifier; a final particle.
Kung	跟	to follow.
Kung	根	a classifier denoting objects long and generally stiff.
Kung°-ka	更加	still more.
Kwan	關	to shut, shut.
Kwaung	光	smooth, bright.
Kwe-°kyui	規矩	custom, propriety.
°Kwen	管	a classifier of tubular things.
Kwen	官	a mandarin, a magistrate.
Kwen-°foo	官府	a mandarin, a magistrate.
Kwen-wo°	官話	mandarin dialect.
Kwen-ze	棺材	a coffin.
Khwa°	快	fast, sharp.
Khwa°-khwa°	快快	quickly.
Khwa°-tse	快哉	about to do a thing.
Khwan	筷	chop-sticks.
Khwe°	塊	a piece, a slice.
Khweh	闊	broad.
Khweh-‘ah	闊狹	breadth.
Khwen-°‘eu	寬厚	to forgive.
Khwen-yoong	寬容	to forgive.
°Khwung	梱	a classifier denoting bundles of things.
Khwung°	睏	to sleep.
°Kwung	滾	to boil.
°Kwung	滾	to roll.
°Kwung-‘au°-chi°	滾下去	to roll.
Kya-dz	家慈	a mother.
Kya-°moo	家母	mother.
Kya-nyien	家嚴	father.
Kya-°voo	家父	father.
Kyak	脚	a foot.
Kyak-tsih-deu	脚指頭	a toe.
Kyau-kwan	交關	a great many.
Kyau°	叫	to call.
°Kyeu	九	nine.
°Kyeu-seh	九十	ninety.
Kyeu°	救	to save.
Kyi	鷄	a fowl.
Kyi-dan°-kau	鷄蛋糕	a sponge cake.
°Kyi	幾	how many?
°Kyi-hau°	幾化	how many
°Kyi -‘oo	幾乎	on the point of.
°Kyi-z	幾時	when?
Kyi°	記	remember.
Kyi°	寄	to send a letter.
Kyi°	季	season.
Kyi°-‘au°	記號	signs or marks.
Kyi°-tuh	記得	to remember.
Kyi°-zen-zeh-ke	既然實該	if that be so.
Kyoeh-°ts	橘子	an orange.
Kyui°	貴	dear (in price).
Kyui° seh-wo°	句說話	a sentence.
Kyung	斤	a catty.
Kyung-loo	金鑼	a gong.
Kyung-nyien	今年	this year.
Kyung-°seu	經手	to manage.
Kyung-°ts	金子	gold.
Kyung-tsau	今朝	to-day.
Kyung°-°ts	鏡子	a mirror.
La°	拉	at, in, on, to, sign of past tense.
Lah-tsok	蠟燭	a candle.
Lan	籃	a basket.
Lan	藍	blue.
°Lan-°doo	懶惰	a lazy.
°Lan-phok	懶怕	lazy.
°Lang	冷	cold.
°Lang-nyih	冷熱	temperature.
°Lang-siau°	冷笑	to ridicule.
Lau	牢	firm.
°Lau-zeh	老實	honest.
°Lau	佬	and.
°Lau	老	old, venerable.
°Lau-au	老鴉	a crow.
°Lau-dzoong	老蟲	a rat.
°Lau-°hoo	老虎	a tiger.
°Lau-iung	老鷹	a hawk.
°Lau-nyung-ka	老人家	a father.
°Lau-°ts	老鼠	a rat.
Lauh	落	to fall.
Lauh-°s	落水	tide going out.
Lauh-°yui	落雨	to rain.
Laung-deu	榔頭	a hammer.
Laung-tsoong	郞中	doctor.
Laung°	上	above, upon (used after a noun).
Le	來	to come.
Le-chi°	來去	going back and forth.
Le-nyien	來年	next year.
Le-°si	來死	used in forming the superlative.
Le-tuh-ji°	來得及	there is time.
Le-’veh-ji°	來勿及	there is not time.
Le-°’waung	來往	intercourse.
Leh-la°	垃拉	there, in, on, sign of past tense.
Leh-°li	垃裏	here, sign of present tense.
Leu	樓	a two-storied house.
Leu-vaung	樓房	a two-storied house.
Leu	漏	to leak.
Li	釐	a li (in currency).
Li-khe	離開	to forsake, desert, depart from.
°Li	里	a Chinese mile.
°Li	裏	in (used after noun).
°Li-hyang°	裏向	in (used after noun).
°Li-loo°	里路	a Chinese mile.
°Li-pa°	禮拜	a week.
°Li-pa°-daung	禮拜堂	a church.
°Li-pa°-ih	禮拜一	Monday.
°Li-pa°-lok	禮拜六	Saturday.
°Li-pa°-°ng	禮拜五	Friday.
°Li-pa°-nyi°	禮拜二	Tuesday.
°Li-pa°-nyih	禮拜日	Sunday.
°Li-pa°-s°	禮拜四	Thursday.
°Li-pa°-san	禮拜三	Wednesday.
Liang	量	to measure.
°Liang	兩	two.
°Liang	兩	an ounce.
°Liang-kauh	兩角	twenty cents.
°Liang-thaung	兩趟	two times, twice.
°Liang-we	兩回	two times, twice.
Liang°	亮	light (opposite of dark).
lih	立	to stand up.
Lih-ding°	立定	to stand still.
Lih-ding°-°tsu-i°	立定主意	to decide.
Lih-khuh	立刻	instantaneous.
Ling	拎	to carry a load in one hand.
Ling	紉	to sew, to stitch.
Ling-ih-tsung	紉一針	to take a stitch.
Ling-sak	淋濕	to get wet.
Ling-°so	鄰舍	a neighbor.
°Ling	領	to lead.
Ling°-daung	令堂	a mother.
Ling°-e°	令嬡	a daughter.
Ling°-laung	令郞	a son.
Ling-nga°	另外	besides, in addition.
Ling°-tsung	令尊	a father.
Lok	六	six.
Lok	䟿	to get up.
Lok	綠	green.
Lok	鹿	a deer.
Lok-seh	六十	sixty.
Lok-tsen	䃙磚	a brick.
Loo°	路	a road.
Loong	龍	a dragon.
°Loong-°tsoong	攏總	all.
Loong°	弄	to attend to a thing, to make it right.
Loong°-°hau	弄好	to attend to a thing, to make it right.
Loong°-khe-°hoo-lo	弄開火來	to set a house on fire.
M-meh	無沒	not any.
M-sa°	無啥	not any.
M-sa°-nyung	無啥人	no one.
°M	畝	a mow.
°Ma	買	to buy.
°Ma-ban°	買辦	a compradore.
°Ma-ma°	買賣	business.
Ma°	賣	to sell.
°’Ma-theh	賣脫	to sell.
Mah	襪	socks, stockings.
Mak	麥	a plant of wheat.
Man°	慢	slow.
Man°	萬	ten thousand.
Man°-chi°	慢去	good-by.
Man°-man°-nung	慢慢能	slowly, gently.
Man°-man°-ts-°tseu	慢慢之走	walk slowly.
’Man	蠻	very.
Mau	毛	nearly.
Mau	毛	rough.
Mau	貓	a cat.
Mau-bing°	毛病	illness.
Mau-san-°li-loo°	毛三里路	nearly three miles.
Mau-tsen	毛氈	a carpet.
Mau°-°ts	帽子	a hat, cap.
Maung°	望	to desire, to expect.
Maung°	望	to visit, to pay respects to.
Maung°-deu	望頭	hope.
Maung°-kyi°	忘記	to forget.
Me	煤	coal.
°’Me	每	each.
°Me-kok	美國	America.
°’Me-nyien	每年	every year.
°’Me-nyoeh	每月	every month.
Me°-me°	妹妹	a younger sister.
Meh	末	at last, end, interrogative particle, a negative, a conditional particle.
Meh-z°	物事	an affair (concrete), a thing.
Men-deu	饅頭	bread.
°Mi	米	rice (bought in shop).
Miau°	廟	a temple.
Mien-hwo	棉花	cotton.
Mien°	面	classifier of flat objects.
Mien° bung	面盆	a washbowl.
Mien°-°khoong	面孔	a face.
Ming-bak	明白	to understand.
Ming-nyien	明年	next year.
Ming-tsau	明朝	to-morrow.
Ming-vung°	名分	duty.
Mo-tshiak	麻雀	a sparrow.
Mo-tsiang	麻將	a sparrow.
°Mo	馬	a horse.
°Mo-deu	碼頭	a jetty.
°Mo-foo	馬夫	a coachman.
°Mo-tsho	馬車	a carriage.
Mok	摸	to feel, to touch.
Mok-deu	木頭	wood, lumber.
Mok-ziang	木匠	a carpenter.
Moo	磨	to sharpen.
°Moo-tshing	母親	a mother.
Muh	墨	ink.
Muh-°s	墨水	foreign ink.
Mung	門	a door.
Mung-°kheu	門口	doorway.
Mung-°kheu-deau	門口頭	a doorway.
Mung-°ts	蚊子	a mosquito.
Mung°	問	to ask.
°Na-nung	那能	how.
°Na-yeu	奶油	butter.
Na°	㑚	you, ye.
Na°-kuh	㑚個	your, yours.
Nan	難	difficult.
Nan-meh	難末	then.
Nan-we-dzing	難爲情	to regret, to be placed in an embarrassing position.
Nau	拿	to take.
Nau-ehi°	拿去	to take away.
Nau-le	拿來	to bring here.
Nau-theh	拿脫	to take off.
Nen	南	south.
Nen	男	male.
°Ng	五	five.
°Ng-ngan-lok-suh	五顔六色	variegated colours.
°Ng-seh	五十	fifty.
Nga°	外	out.
Nga°-deu	外頭	out, outside.
Nga°-kok	外國	foreign.
Nga°-kok-nyung	外國人	a foreigner.
Ngan-suh	顏色	colour.
°Ngan-kyung°	眼鏡	spectacles.
°Ngan-tsing	眼晴	an eye.
Ngang°	硬	hard.
°Ngau	咬	to bite, to bark.
Nge°-sa°-va°	碍啥否	is it important?
Ngeh-°ts	杌子	a stool.
°Ngeu-zen	偶然	by chance.
Ngoo	鵝	a goose.
Ngoo-kok	俄國	Russia.
Ngoo-kok-nyung	俄國人	Russians.
°Ngoo	我	I, me.
°Ngoo-han-deu	我壗頭	my place.
°Ngoo-kuh	我個	mine, my.
°Ngoo-nyi°	我伲	we, us.
°Ngoo-nyi°-kuh	我伲個	ours, our.
°Noen	暖	warm.
Noen°	囡	daughter.
Noong°	儂	thou, thee, you.
Noong°-kuh	儂個	they, thine, yours.
Nung-keu°	能彀	can, may.
Nung-koen°	能幹	ability, power.
Nyah	捻	to take bold of, to grasp.
Nyan°	廿	twenty.
Nyan°-kyung	念經	perform funeral ceremonies.
Nyang	娘	mother.
Nyang°	讓	to allow.
Nyau-so°	饒赦	to forgive.
Nyeu	牛	a cow.
Nyeu-°na	牛奶	milk.
°Nyeu-°ts	鈕子	a button.
Nyi	呢	interrogative particle.
°Nyi-kwaung	耳光	face (cheek).
Nyi-koo	尼姑	nun.
Nyi-°s-ziang°	泥水匠	a mason.
Nyi-°ts	兒子	a son.
°Nyi-°too	耳朵	the ear.
Nyi°	伲	we, us.
Nyi°	二	two.
Nyi°-kuh	伲個	ours, our.
Nyi° seh	二十	twenty.
Nyien	年	a year.
Nyien-deu-laung°	年頭上	the beginning of the year.
Nyien-nyien	年年	every year.
Nyien-°ti	年底	the end of the year.
Nyien-tshoo-ih	年初一	New Year’s day.
Nyien-ya°	年夜	the end of the year.
Nyien°-de	硯台	a Chinese ink tablet.
Nyien°-°ts	硯子	a Chinese ink tablet.
Nyih	日	a day, the sun.
Nyih	熱	hot.
Nyih-dzok	日昨	daily.
Nyih-nyih	日日	daily.
Nyih-tsoong°	日中	noon, in the middle of the day.
Nyoeh	月	a month, a moon.
Nyoeh-deu	月頭	first part of a month.
Nyoeh-deu-laung°	月頭上	first part of a month.
Nyoeh-liang°	月亮	the moon.
Nyoeh-nyoeh	月月	every month.
Nyoeh-pen°	月半	the middle of the month.
Nyoeh-°ti	月底	the end of a month.
°Nyoen	軟	soft.
Nyoen-liang°	原諒	to forgive.
Nyok	肉	meat.
°Nyui-nyung	女人	a woman.
Nyung	人	man.
Nyung-’aung	銀行	a bank.
Nyung-deu	人頭	a postage stamp.
Nyung°-tsih	迎接	to welcome.
Nyung-°ts	銀子	silver.
Nyung°-tuh	認得	to know a person.
Oen-we°	安慰	to comfort.
Ok-°li	屋裏	home.
‘Ok-tse	或着	either, or.
‘Ok-°z	或是	either, or.
‘Oh-hwaung	何况	how much more?
‘Oo-zaung°	和尙	a Buddhist priest.
‘Oo	壺	a kettle.
‘Oo	河	river.
‘Oo-dih	蝴蝶	a butterfly.
‘Oo-li	狐狸	a fox.
‘Oong	紅	red.
Pa	擺	to place.
Pa°	拜	to worship.
Pa°-khak	拜客	to pay a ceremonial visit.
Pa°-maung°	拜望	to visit, to pay respects to.
Pah	八	eight.
Pah-seh	八十	eighty.
Pak	百	a hundred.
Pak-pak	伯伯	father.
Pak-po	百巴	about a hundred.
Pan	班	a class (in school).
°Pan	板	a board.
Pang	浜	a canal, a creek.
Pau	包	a bale, classifier of bales of things.
°Pau-pe°	寶貝	precious.
°Paung	綁	to tie up, to bind with a cord.
Pe-°ts	杯子	a cup.
Pe°	背	to carry on the back.
Pe°	背	to back a book, to recite a lesson.
Peh	撥	to give.
Peh	撥	used to form passive.
Pen	搬	to remove (a residence).
Pen-dzang	搬塲	to remove (a residence).
Pen°	半	half.
Pan°-kwhe°-yang-dien	半塊洋錢	a half of a dollar.
Pen°-nyien	半年	half a year.
Pen°-ya°-po	半夜巴	about midnight.
Phau°	炮	a cannon.
Phau°-de	炮台	a fort, a battery.
Phi-bing	批評	to criticize, criticism.
Phi-thah	批搨	to criticize, criticism.
Phih	劈	to split.
Phih	疋	a classifier of whole pieces of dry goods.
Phih	匹	classifier of horses.
Pho°	怕	ugly.
Phoo°-ke	鋪蓋	bedding.
°Phoo-thien-‘au°	普天下	universal.
°Pi	比	to compare.
°Pi-faung	比方	for instance, an illustration.
°Pi-ts	比之	it to compare.
°Piau	錶	a watch.
Pien-deu	邊頭	by the side of.
Pih	筆	a pen.
Pih	必	certain.
Pih-ding-iau°	必定要	must.
Pih-koo°	不過	only.
Ping-ting	兵丁	a soldier.
°Ping-°tshia	幷且	moreover.
Po-maung°	把望	to desire, to expect, to hope.
Po	巴	about.
°Po	把	classifier of tools and articles grasped in the hand.
Pok	北	north.
Pok-pien	北邊	north.
Poo-li	玻璃	glass.
Poo-li-pe-°ts	玻璃杯子	a tumbler, a glass.
Poo°	布	cloth.
