参考汉字	参考读音	简要解释
外快	nga21khua44	①意外所得。②副业：赚~。
赚外快	ze21nga44khua21/ze13 nga21khua44	
捞外快	lau32nga21khua23/lau44 nga21khua44	见ze nga khua。
本钱	pen33zie44	
工钱	kon32zie23	
利钱	li21zie44	
加工钱	ka32kon21zie23	
削工钱	siah32kon21zie23/siah5 kon32zie23	
奖金	tsian33cin44	
盘缠	boe13zoe21	
路费	lou21fi44	见boe zoe。
算盘	soe44boe21	
天平	thie32bin23	
戥子	ten44tseh21	
克戥	kheh21ten44	
戥盘	ten32boe23	
秤	tshen34	
磅秤	baon21tshen44	
弹簧秤	de21waon44tshen21	
秤砣	tshen44dou21	
秤钩	tshen44kei21	
秤盘	tshen44boe21	
秤杆	tshen44koe21	
秤星	tshen44sin21	
头纽	dei13nyeu21	靠近秤钩的秤纽，用来称重物。
二纽	nyi21nyeu44	离秤钩远的秤纽，用来称轻物。
先[记音]	sie44	分量足。
溜[记音]	'''lei44'	分量不足。
掐秤头[记音]	khah21tshen44dei21/khah5 tshen44dei21	称物时，用手指将秤头压住，指缺斤少两的行为。
行会	ghaon13we21	
绸布店	zei13pou44tie21	
布店	pou44tie21	
布行	pou44ghaon21	
剪布	tsie33pou44/tsie323-23 pou34	买布。
食品店	zeh21phin44tie21	
南货店	noe13hou44tie21	
米店	mi21tie44	
八段米市	pah32doe21mi21zy23	无锡旧为全国四大米市之一，自南门到北门有八段米市，最盛期有米行200余家。
粮油店	lian13yeu44tie21	
肉店	nyoh32tie23	
肉墩头	nyoh21ten44tei21	卖肉的摊位。
菜场	tshe44zan21	
酱油店	tsian44yeu44tie21	
酒店	tsei33tie44	
饭店	ve21tie444	
馆子	koe33tseh4	
饭馆	ve21koe44	
馒头店	moe13dei44tie21	
大饼摊	da21pin44the21	
豆腐店	dei21vu44tie21	
旅馆	li44koe21	
洋铁铺	yan13thih4phou21	
煤球店	me13jieu44tie21	
木材店	moh21ze44tie21	
当铺	taon44phou21	
棺材店	koe32ze21tie23	
古董店	ku33ton44tie44	
花店	hu32tie23	
裁缝店	ze13von44tie21	
剃头担	thi44dei44te21	
理发店	li21fah4tie21	
棉花店	mie13hu44tie21	
杂货店	zah21hou44tie21	
三代店	se32de21tie23	从前街道社区开设的便民的代营、代购、代销店。
面馆	mie21koe44	
旧书店	jieu21syu44tie21	
汤团店	thaon32doe21tie23	
馄饨店	wen13den44tie21	
茶馆	zou13koe21	
书场	syu32zan23	
浴室	yoh21seh4	
混堂	wen21daon44	
放汤浴	faon44thaon44yoh21	旧时浴室接近打样时开始放水，一般此时任人进去免费洗澡。
擦背	tshah32pe23	
老虎灶	lau32hu21tsau23	
荐头店	tsie44dei44tie21	职业介绍。
三万昌	se32ve21tshan23	茶馆名，无锡老字号，创建于1902年。当年瞎子阿炳（华彦均）常向三万昌借一张长凳，在茶馆门口卖唱。
大吉春	dou21cih4tshen21	参药店名，无锡老字号，创办于1865年。今地址在胜利门莲蓉桥堍。
仁号	nyin13ghau21	茶食店名，无锡老字号，前身为“仁号糖栈”，创建于1893年。
天发池	thie32fah21zyu23	无锡浴室名，老字号，1937年创建，原址在北塘大街。
王元吉	waon13nyoe44cih21	冶坊名，清代中叶晋商查某创设，地址在羊腰湾。后公私合营，1966年更名为无锡锅厂。
王兴记	waon13shin44ci21	馄饨店名，无锡老字号，1913年创建，以馄饨、小笼馒头出名，今在市区有多家分店。
世泰盛	syu44tha44zen121	绸庄名，无锡老字号，创建于1889年，1966年改名为世泰盛布绸商店，后因城区改建拆除。
同丰	don13fon21	参药店名，无锡老字号，创办于1853年。今址在中山路。
老三珍	lau21se44tsen21	肉庄名，无锡老字号。
西天宝	si32thie21pau23	帽鞋店名，无锡老字号，开设于1911年，民间有“女鞋陆永和，男鞋西天宝”之说。后公私合营成立“鹤鸣皮鞋厂”。
过福来	kou44foh4le21	手推馄饨店名，无锡老字号。
亨达利	hen32dah21li23	钟表店名，无锡老字号，创办于1917年。
时和	zy13ghou21	布绸店名，无锡老字号，建于1867年，原位于北大街，后因城市建设的需要而拆除。
李同丰	li21don44fon21	参药店名，无锡老字号，创办于1911年。1966年更名为“健康参药店”，今址在中山路。
沈广茂	sen33kuaon44mau44	洗染店名，无锡老字号，创办于1908年，为苏州沈广茂的分店，后公私合营，今址在道长巷。
状元楼	zaon21nyoe44lei21	菜馆名，无锡老字号，创办于1919年。今址在北塘青石路。
邵祥泰	zau21zian44tha21	煤铁号名，无锡老字号，创办于1890年，后公私合营，1958年更名为无锡煤球三厂。
陆右丰	loh32yeu21fon23	酱园槽坊名，无锡老字号，创建于1864年，1958年四家单位合并成太湖酱类食品厂。
陆稿荐	loh32kau21tsie23	肉庄名，无锡老字号，创建于清同治年间。
周信昌	tsei32sin21tshan23	零剪百货店名，无锡老字号，创设于1869年，1969年并入无锡东方红商场，即今无锡商业大厦。
拱北楼	kon21poh4lei21	面馆名，无锡老字号，创办于1863年，原由面馆、茶馆、浴室三部分组成，今新址在胜利门。
徐嘉和	zi13cia44ghou21	茶食店名，无锡老字号，创建于1898年。公私合营后改为无锡第四副食品商店。
清和楼	tshin32ghou21lei23	茶楼名，为无锡旧时南门最有名的茶楼。今南长街新址名为“清和楼茶食馆”。
喜福楼	shi33foh4lei44	饭店名，无锡老字号，创建于1919年，今新址在中山路北段。
慎馀	zen21yu44	肉庄名，无锡老字号，始创于清光绪末年。
蓉湖楼	yon13wu44lei21	茶楼名，旧时为北塘最有名的茶楼，后被日军大火烧毁。
景泰隆	cin33tha44lon44	茶叶店名，无锡老字号，创办于1909年，解放后改为无锡茶叶商店，今新址在人民中路。
聚丰园	zie21fon44yoe21	菜馆名，无锡老字号，创办于1867年。今址在胜利门口。
聚鑫园	zi21sin44yoe21	菜馆名，无锡老字号，创办于1910年。今新址在南长街。
潘锦丰	phoe32cin21fon23	账簿店名。创设于清咸丰年间，后公私合营，1974年成立外贸印刷厂。
船厂	zoe13tshan21	
轮船	len13zoe21	
渔船	yu13zoe21	
汽船	chi44zoe21	
扯篷船	tsha33bon44zoe44	帆船。
网船	maon21zoe44	
摆渡船	pa33dou44zoe44	
码头	mu21dei44	
船头	zoe13dei21	
船身	zoe13sen21	
船尾	zoe13mi21	
船舱	zoe13tshaon21	
篷	bon113	
扯篷	tsha33bon44	扬帆。
落篷	loh21bon44	下帆。
锚	mau113	
舵	dou113	
橹	lou13	
纤绳	chie32zen23	
跳板	thiau44pe21	
舢板	se32pe23	
汽车	chi44tshou21	
客车	khah21tshou44	
货车	hou44tshou21	见hou seh tshou。
货色车	hou44seh4tshou21	货车。
电车	die21tshou44	
公共汽车	kon32gon21chi21tshou23	
下车	wu21tshou44	
车站	tshou32ze23	
站头	ze21dei44	
车票	tshou32phiau23	
买票	ma32phiau23/ma13 phiau34	
卖票	ma32phiau23/ma213-13 phiau34	
面包车	mie21pau44tshou21	
小轿车	siau33jiau44tshou44	
差头	tsha32dei23	出租车，为charter的音译。
出租车	tsheh21tsou44tshou21	见tsha dei。
喊差头	he34 tsha32dei23	叫出租车。
救火车	cieu44hou44tshou21	消防车。
消防龙头	siau32vaon21lon21dei23	消防车。
黄鱼车	waon13ng44tshou21	
三轮车	se32len21tshou23	
黄包车	waon13pau44tshou21	
东阳车	ton32yan21tshou23	
摩托车	mou13thoh4tshou21	
三飞车	se32fi21tshou23	变速车，“飞”指变速的齿轮，来源于英语fit。
脚踏车	ciah5dah5tshou55	自行车。
踏脚踏车	dah13 ciah5dah5tshou55	骑自行车。
踏脚	dah21ciah4	自行车的踏板。
癞团车	la21doe44tshou21	三轮小卡车，可载客，因车头两侧有鼓起的大灯，似蟾蜍的眼睛，故名。
龙头	lon13dei21	①自行车的车把。②自行车的放水开关。
邮递员	yeu13di44yoe21	
轮盘	len13boe21	轮子。
邮电局	yeu13die44jioh21	
信壳子	sin44khoh4tseh21	信封。
报纸	pau44tsyu21	
无线电	wu13sie44die21	
无线电	vu13sie44die21	
收音机	sei32in21ci23	
半导体	poe44tau44thi21	
铁路	thih21lou44	
铁轨	thih32kue23	
火车	hou33tshou44	
火车站	hou33tshou44ze44	
读书人	doh21syu44nyin21	
识字人	seh21zy44nyin21	
开眼瞎子	khe32nge21hah21tseh23	文盲。
文盲	ven13maon21	见khe nge hah tseh。
勿识字人	feh5seh5zy55nyin55	见khe nge hah tseh。
学堂	ghoh21daon44	
大学	da21ghoh4	
中学	tson32ghoh23	
小学	siau33ghoh4	
幼儿园	ieu44r44yoe21	
托儿所	thoh21r44sou21	
中专	tson32tsoe23	
技校	ji21yau44	
大专	da21tsoe44	
夜校	ya21yau44	
电大	die21da44	
补习班	pou33zih4pe44	
私塾	sy32zoh23	
上学堂	zan21ghoh4daon21	上学。
上学	zan21ghoh4	见zan ghoh daon。
放夜学	faon44ya44ghoh21/faon34 ya21ghoh4	放学。
关夜学	kue32ya21ghoh23	学生放学后被老师留在学校。
立壁角	lih21pih4koh21	罚站在墙角。
赖学	la21ghoh4	
迟到	zyu13tau21	
早退	tsau33the44	
放假	faon44cia21	
放暑假	faon44syu44ka21	
放寒假	faon34 ghoe13ka21	
放农忙假	faon34 nyon13maon44ka21	
请假	tshin33cia44	
事假	zy21cia44	
病假	bin21cia44	
开除	khe32zyu23	
转学	tsoe33ghoh4	
退学	the44ghoh21	
水笔	syu33pih4	见se pih。
水笔	se33pih4	
钢笔	kaon32pih23	
金笔	cin32pih23	
原子笔	nyoe32tsy21pih23	
自动铅笔	zy21don44khe44pih21	
铅笔	khe32pih23	
墨笔	meh21pih4	
毛笔	mau13pih21	见meh pih。
笔套	pih32thau23	
笔筒	pih32don23	
砚台	nye21de44	
磨墨	mou13meh21	
洇	in34	墨水化开。
化	hu34	见in。
档[记音]笔	taon34 pih5	拿笔。
墨水	meh21syu44	
红墨水	ghon13meh4syu21	
蓝墨水	le13meh4syu21	
橡皮	zian21bi44	
尺	tshah5	
圆规	yoe13kue21	
三角板	se32koh21pe23	
卷笔刀	cioe33pih4tau44	
课堂	khou44daon21	
讲台	kaon33de44	
第一排	di21ih4ba21	
阿末一排	ah5meh5ih5ba55	最后一排。
黑板	heh32pe23	
粉笔	fen33pih4	
揩黑板	kha32heh21pe23/kha44 heh32pe23	擦黑板。
揩粉刷	kha32fen21sih23	黑板擦。
板书	pe33syu44	
蜡笔	lah21pih4	
讲义	kaon33nyi44	
讲义	kaon33yi44	见kaon nyi。
课本	khou44pen21	
书	syu44	
笔记本	pih21ci44pen21	
油印	yeu13in21	
铅印	khe32in23	
蜡纸	lah21tsyu44	
钢板	kaon32pe23	
揿书机	chin44syu44ci21	订书器。
揿钉	chin44tin21	
图钉	dou13tin21	
垫板	die21pe44	
图章	dou13tsan21	
点名	tie33min44	
上课	zan32khou23	
下课	wu32khou23	
读书	doh21syu44	
念书	nye21syu44	
默书	syu21syu44	
抄书	tshau32syu23/tshau44 syu44	
小人书	siau33nyin44syu44	连环画。
作文	tsoh21ven44	
写作文	sia33tsoh4ven44/sia323-23 tsoh21ven44	
草稿	tshau33kau44	
打草稿	tan33tshau44kau44/tan323-23 tsau33kau44	
誊	den113	
批作业	phi32tsoh21nyih23/phi44 tsoh5nyih5	
做作业	tsou44 tsoh4nyih21	
掘田螺	jiuih13 die13lou21	指写字不认真。
心相	sin32sian23	心思，兴致。
长心	zan13sin21	恒心。
考试	khau33syu44	
测试	tsheh32syu23	
期中考试	ji13tson44khau44syu21	
期末考试	ji13meh4khau44syu21	
小考	siau33khau44	
大考	dou21khau44	
毕业考试	pih5nyih5khau55syu55	
升级	sen32cih23	
留级	lei13cih21	
跳级	thiau44cih21	
考场	khau33zan44	
监考	cie32khau23	
作弊	tsoh32bi23	
偷看	thei32koe23	
考卷	khau33cioe44	
密封	mih21fon44	
交白卷	kau32bah21cioe23/kau44 bah32cioe23	
批考卷	phi32khau21cioe23/phi44 khau33cioe44	
一百分	ih5pah5fen55	
满分	moe21fen44	
零分	lin13fen21	
零汤团	lin13thaon44doe21	
勿及格	feh5jih5kah5	
开红灯	khe32ghon21ten23/khe44 ghon13ten21	
第一名	di21ih4min21	
阿末一名	ah4meh5ih5min55	最后一名。
招生	tsau32sen23	
招考	tsau32khau23	
报名	pau44min21	
报考	pau44khau21	
额子	ngah21tsy44	名额。
考取	khau32tshi23	
考勿取	khau33feh4tshi44	
毕业考试	pih5nyih5	
文凭	ven13bin21	
证书	tsen44syu21	
派司	pha44sy21	护照，为pass的音译。
写大楷	sia323-23 dou21kha44	
写大字	sia323-23 dou21zy44	
写小楷	sia323-23 siau33kha44	
草字	tshau33zy44	
潦草字	liau13tshau44zy21	
大大	da32da23	指写的乱七八糟的字，儿语。
土白	thou33bah4	
方言	faon32ye23	
简体字	cie33thi44zy44	
繁体字	ve13thi44zy21	
笔划	pih5wah5	
笔顺	pih32zen23	
部首	bou21sei44	
边旁	pie32baon23	偏旁。
点	tie323	
划	wah13	横。
竖	zyu13	
撇	phih5	
捺	nah13	
钩	kei44veh4de21	
单隑人	te32ge21nyin23	单人旁。
单人旁	te32nyin21baon23	见te ge nyin。
双隑人	saon32ge21nyin23	双人旁。
双人旁	saon32nyin21baon23	见saon ge nyin。
宝盖头	pau33ke44dei44	宝盖儿。
踢土旁	thih32thou21baon23	提土儿。
提手旁	di13shieu44baon21	
竖心旁	zyu21sin44baon21	
反犬旁	fe33chioe44baon44	
耳朵边	nyi32tou21pie23	左挂耳，右挂耳。
反文旁	fe33ve44baon44	
竹篱头	tsoh32li21dei23	竹字头。
草字头	tshau33zy44dei44	
雨字头	yu2zy44dei21	
走之底	tsei33tsyu44ti44	
绞丝旁	gau21sy44baon21	
示字旁	zy21zy44baon21	
衣字旁	i32zy21baon23	
两点水	lian32tie21syu23	
三点水	se32tie21syu23	
孛相相[记音]	beh21sian44sian21	玩玩。
玩具	ghoe13jiu21	
孛相物事	beh21sian44meh4zy21	玩具。
不倒翁	peh32tau21on23	见beh feh tau。
勃[记音]勿倒	beh21feh4tau21	不倒翁。
天皇皇	thie32waon21waon23	空竹。
洋囡囡	yan13noe44noe21	洋娃娃。
洋娃娃	yan13wa44wa21	见yan noe noe。
模模	mou13mou21	人偶。
放鹞子	faon34 yau21tseh4	放风筝。
老鹰捉小鸡	lau21in44 tsoh5 siau33ci44	
跳橡皮筋	thiau34 zian21bi44cin21	
吹肥皂泡	tshyu44 bi13zau44phau21	吹泡泡。
吹泡泡	tshyu44phau44phau21	见tshyu bi zau phau。
淌[记音]滑梯梯	thaon33wah4thi44thi44	滑滑梯。
滑滑梯	wah21wah4thi21	见thaon wah thi thi。
洋泡泡	yan13phau44phau21	气球。
气球	chi44jieu21	
削水片	siah32syu21phie23	往水面投掷瓦片，使其能在水面上弹起。
看西洋镜	khoe34 si32yan21cin23	①一种民间的游戏器具，匣子里面装着画片儿，匣子上放有放大镜，透过匣子的孔，可以看放大的画面。因为最初画片多是西洋画，所以叫西洋镜。②去看热闹和新鲜事物：你依勒娘[leh nyan]看啥个~啊？
拆穿西洋镜	tshah21tshoe44 si32yan21cin23	识破别人的诡计。
噼啪子	phih5phah5tsy55	用来当子弹的朴榆果。
噼啪子枪	phih5phah5tsy55tshian55	用细竹管做成的枪，用朴榆果作子弹。
挑绷绷	thiau32pan21pan23	一种游戏，用一根线绳，两人通过十指的支撑勾挑。民间认为玩挑绷绷会下雨。
抛桶箍	phau32don21ku23/phau44 don13ku21	滚铁环。
掼洋牌	gue21yan44ba21/gue13 yan13ba21	
拍洋牌	phah32yan21ba23/phah5 yan13ba21	
豁[记音]拳	huah21jioe44	
猜蛮蛮子[记音]	tshe44 me13me44tseh21	猜谜。
猜灯谜	tshe32ten21mi23/tshe44 ten32mi23	
打弹子	tan33de44tsy44/tan323-23 de21tsy44	
猜拳头	tshe32jioe21dei23/tshe44 jioe13dei21	
手心手背	shieu33sin44shieu44pe44	两人以上同时出手心或手背。
荡马路	daon21mu44lou21/daon213-13 mu32lou23	指逛街或在马路上散步。
荡秋千	daon21tshei44tshie21	
造房子	zau21vaon44tseh21/zau13 vaon13tseh21	
斗弹蝍	tei34 de21tsih4	斗蟋蟀。
打勿煞	tan33veh4sah4	一种陀螺，放在地上打。
打勿煞	tan33feh4sah4	一种陀螺，放在地上打。
打皮弹弓	tan323-23 bi13de44kon21	
看万花筒	khoe34 ve21hu44don21	
摇波浪鼓	yau13 pou32laon21ku23	
跷跷板	chiau44chiau44pe21	
摸彩	moh32tshe23	抓阄。
畔羊模模[记音]	boe21yan44mou44mou21	捉迷藏。
抓模模[记音]	tsa32mou21mou23	一种游戏，通过划拳等论输赢，嬴者从输者手中得奖品。
叫叫	ciau44ciau21	哨子。
吹叫叫	tshyu44ciau44ciau21	吹哨子。
搭积木	tah5cih5moh5	
跳绳	thiau44zen21	
跳长绳	thiau34 zan13zen21	
跳双蹦蹦	thiau34 saon32pon21pon23	跳绳的花样，即跳一下，甩双圈绳。
跳油搞搞	thiau34 yeu13gau44gau21	跳绳的花样，即跳的时候，双手交叉甩绳。
打篮球	tan33le44jieu44/tan323-23 le13jieu21	见toh le jieu。
厾篮球	toh32le21jieu23/toh5 le13jieu21	打篮球。
踢足球	thih5tsoh5jieu55/thih5 tsoh21jieu44	
打羽毛球	tan323-23 yu32mau21jieu23	
台球	de13jieu21	乒乓球。
乒乓球	phin32phan21jieu23	
台球拍	de13jieu44phah21	乒乓球拍。
打台球	tan33de44jieu44/tan323-23 de13jieu21	打乒乓球。
打乒乓球	tan323-23 phin32phan21jieu23	
打排球	tan33ba44jieu44/tan323-23 ba13jieu21	
康乐球	khaon32loh21jieu23	一种在四方桌上打的球，来源于英语corner ball。
拔河	bah21ghou44	
厾铅球	toh32khe21jieu23/toh5 khe32jieu23	掷铅球。
倒立	tau44lih21	
竖蜻蜓	zyu21tshin44din21/zyu13 tshin32din23	
千跟头[记音]	tshie32ken21dei23/tshie44 ken32dei23	①翻跟头。②摔跤。
翻跟头	fe32ken21dei23/fe44 ken32dei23	见tshie ken dei。
勃[记音]跟头	beh21ken44dei21/beh13 ken32dei23	一种游戏；摔跤。
豁[记音]虎跳	huah32hu21thiau23	跳着翻跟头。
着棋	tsah21ji44	下棋。
象棋	zian21ji44	
棋盘	ji13boe21	
棋子	ji13tsy21	
河界	ghou13ka21	
和棋	ghou13ji21	
将煞	tsian34 sah5	杀将，嬴局。
将	tsian34 sah5	象棋中的“将”、“帅”。
老蒋	lau32tsian23	
蒋光榔头	tsian33kuaon44laon44dei44	
挺兵	thin33pin44	
出车	tsheh21ciu44	
撑士	tshan32zy23	扯士。
跳马	thiau44mu21	
飞象	fi32zian23	
轧脚马	gah21ciah4mu21	不能跳出去的马。
连环炮	lie13gue44phau21	
迭迭炮	dih21dih4phau21	
当头炮	taon32dei21phau23	
马后炮	mu21ghei44phau21	
棋谱	ji13phou21	
围棋	we13ji21	
黑子	heh32tsy23	
白子	bah21tsy44	
扑克牌	phoh5kheh5ba55	
扑克牌	phoh5khah5ba55	
沙蟹牌	sou32ha21ba23	
打扑克	tan33phoh4kheh4	
打扑克	tan33phoh4khah4	
打牌	tan33ba44	
大轰	dou21hon44	扑克牌中的大王。
小轰	siau33hon44	扑克牌中的小王。
毛二	mau13nyi21	扑克牌里的2。
老开	lau21khe44	扑克牌里的K。
茄梗	jia13kan21	扑克牌里的J。
皮蛋	bi13de21	扑克牌里的Q。
料	liau213	①四张以上一样的牌，即炸弹。②材料。
麻将牌	mu13tsian44ba21	
搓麻将	tshou32mu21tsian23	
砰麻将	phan32mu21tsian23	
筒	don13	麻将牌中的一类牌，刻作原形。
束	soh5	麻将牌中的一类牌，刻作束形。
万	ve213	麻将牌中的一类牌，刻作一万至九万。
白板	bah32pe23	麻将牌中的一类牌，刻作空白方块。
杠头	kaon44dei21	麻将牌倒数第一张牌。
听帐	thin44tsan21	玩麻将牌只差一着即嬴。
独大吊	doh32da21tiau23	打麻将时手中只剩一只牌，待自摸或者出冲而糊牌。
单吊	te32tiau23	
糊	wu113	玩麻将牌一方赢了全局。
后翻梢	ghei21fe44sau21	先输后嬴。
筹码	zei13mu21	玩麻将牌时累计输赢的用具。
骰子	dei13tsy21	
辣子	lah21tsy44	满贯。
自摸	zy21moh4	自己摸到一张牌赢了。
吃	chih5	吃上家一张牌。
碰	phan34	自己有一对，不管哪一家又出这牌，都可以吃。
出冲	tsheh32tshon23	打麻将的时候出的牌让别人糊了。
对对糊	te44te44wu21	已全是对子糊牌。
搭子	tah5tseh5	打牌的伙伴。
牌九	ba13cieu21	一种骨牌。
天牌	thie32ba23	牌九中有十二个点子的牌。
地牌	di21ba44	牌九中有两个点子的牌。
人牌	nyin13ba21	牌九中有八个点子的牌。
家牌	ka32ba23	牌九中有大部分点子两头对称的牌。
野牌	ya21ba44	牌九中有大部分点子两头不对称的牌。
幺五	iau32ng23	牌九中一头一点、一头五点的牌。
幺六	iau32loh23	牌九中一头一点、一头六点的牌。
幺五幺六	iau32ng21iau21loh23	十三点。
小来来	siau33le44le44	小打小闹，多指赌资较小的赌博。
接龙	tsih21lon44	
放炮仗	faon44phau44zan21/faon34 phau32zan23	
放花炮	faon34 hu32phau23	
放花筒	faon34 hu32don23	
放烟火	faon44ie44hou21/faon34 ie32hou23	
掼炮	gue21phau44	扔在地上即响的炮竹。
赛龙船	se44lon44zoe21/se34 lon13zoe21	
划龙船	wah21lon44zon21/wah13 lon13zoe21	
调枪花	diau21tshian44hu21	①耍枪。②说话玩弄手法，出尔反尔。
调龙灯	diau21lon44ten21/diau13 lon13ten21	
踏高跷	dah13 kau32chiau23	踩高跷。
唱山歌	tshan44se44kou21/tshan34 se32kou23	①唱本地的民歌。②唱歌。
游大水	yeu13 dou21syu44	指黄梅季节发大水时嬉戏。
游码头	yeu13mu44dei21	江南水多，集会多在水边或船上，遇上庙会或节日，便一个一个码头玩下来，后泛指“游玩”。
变戏法	pie44shi44fah21/pie34 shi44fah21	变魔术。
木人人头戏	moh32nyin21nyin21dei21shi23	木偶戏。
电影	die21in44	
电影院	die21in44yoe21	
滩簧	the32waon23	江南各地方的小戏。
对子戏	te44tseh4shi21	两人一档的滩簧戏。
无锡滩簧	vu13sih21 the32waon23	锡剧的前身。
无锡滩簧	wu13sih21 the32waon23	见vu sih the waon。
锡剧	sih5jiah5	
常锡文戏	zan13sih4ven44shi21	见sih jiah。锡剧。
小热昏	siau33nyih4huen44	方言演唱的一种街头说唱艺术。
说因果	seh5 in32kou23	无锡评曲。
沪剧	wu21jiah4	
申曲	sen32chioh23	
滑稽戏	wah21ci44shi21	主要以上海方言表演的有说有唱着重于制造笑料的戏剧表演艺术。
独角戏	doh21ciah4shi21	单人表演的滑稽戏。
文明戏	ven13min44ci21	方言话剧。
绍兴戏	zau21shin44shi21	
越剧	yuih21jiah4	
江北戏	kaon32poh21shi23	
淮剧	wa13jiah21	
扬剧	yan13jiah21	
京戏	cin32shi23	京剧。
京剧	cin32jiah23	见cin shi。
大戏	dou21shi44	
黄梅戏	waon13me44shi21	
说书	seh21syu44	①苏州弹词。②评话。③编故事，说大话。
评弹	bin13de21	
单档	te32taon23	评弹中单口表演的曲艺形式。
说大书	seh5 dou21syu44	只说不唱的评话。
昆曲	khuen32chioh23	
开场	khe32zan23	
散戏	se44shi21	
日场	nyih21zan44	
夜场	ya21zan44	
戏台	shi44de21	
唱戏	tshan44shi21	
做功	tsou44kon21	演技。
唱功	tshan44kon21	
说白	seh5bah5	道白。
小旦	siau33te44	
小丑	siau33chieu44	
小生	siau33san44	
功架	kon32ka23	戏曲表演时的身段和姿势，引申为人的举止和风度。
锣鼓家生	lou13ku44ka44san21	锣鼓。
丝竹家生	sy32tsoh21ka21san23	二胡等江南民乐乐器。
铜鼓	don13ku21	鼓。
堂锣	daon13lou21	锣。
锣	lou113	
琴师	jin13sy21	
放汤戏	faon44thaon44shi21	旧时书场临散场时为招揽听众，免费放人进场听书。
立	lin13	站：你~勒娘[leh nyan]做啥？
立壁角	lih21pih4koh21	面壁思过：我要罚你~咧。
挆	tou323	站在高处（如树、凳子上）：覅~勒[leh]矮凳娘[nyan]，当心掼下来。
跪	jiu213	
爿[记音]	be113	爬：我佬小已经会~咧。
爬	bo113	见be。
踵	tshon34	走路时往前斜，不稳欲跌：朆走稳，有点~。
跌跌冲冲	tih5tih5tshon55tshon55	走路跌跌撞撞，不稳的样子。
折	zeh13	折断，瘸：我个脚要~落咧。
合踣	gheh21boh4	跌倒在地上，扑倒：佗推我一记，我一个~。
合踣	gheh21beh4	跌倒在地上，扑倒：佗推我一记，我一个~。
掼跟斗	gun21ken44tei21/gue213-13 ken32tei23	摔跤。
掼跟头	gue21ken44dei21/gue213-13 ken32dei23	摔跤。
跌跟斗	tih32ken21tei23/tih5 ken32tei23	见gue ken tei。
跌跟头	tih32ken21dei23/tih5 ken32dei23	见gue ken dei。
跌着个大屎跟斗	tih5zah5keh5 dou21sy44ken44tei21	摔了一大跤。
逃	dau113	①跑：覅~，当心滑。②逃走：贼骨头~落咧。
逃步	dau13bou21	跑步。
逃快快	dau13khua44khua21	快速奔跑。
绊	pe34	行走时被别的东西挡住或缠住：我拨~着一记。
踏	dah13	①踩：你~着我一脚。②骑（自行车）：~脚踏车。
〇[无字]	di13	提，蹬：~被头。
〇[无字]	ban113	（双脚）叉开：脚覅~开则，难看的。
〇[无字]	bi13	走路重心在脚掌外侧从而使鞋子变形。
〇[无字]	gua13	不好好走路，使鞋子变形。
拖鞋〇头[无字]	thou44gha44bi44dei21	拖鞋没穿好，踩着后跟。
摆	pa323	放：拿物事~~整齐。
摆平	pa33bin44	①放平。②解决：我会帮你~伊件事体个。
扳	pe44	①拉，牵引：你覅~佗，让佗去。②使转向：拿方向盘~过来。③挽回：让我~点转来，输落勿得了钞票咧。
掰	pe44	用手把东西分开或折断：拿烤鸡~~碎。
擘	pah5	掰开：覅~，要坏落个。
剥	poh5	①去皮或壳：拿毛豆~~好。②扯，硬脱：~脚皮。
滗	pih5	挡住液体中的渣滓或其他物，将液体倒出：拿水~落。
扦	tshie44	削：~苹果。
挦	zie113	拔（家禽的毛）：~鹅毛。
搛	cie44	用筷子夹取（东西）吃：~点肉吃吃。
劈[记音]	phih5	①用刀平削：~肉。②将表面的油除去：~油。
閛	phan34	碰撞，拍打；用力关门：门被~上咧。
閛僵	phan33cian44	僵持：两家头~落咧。
〇[无字]	be13	拨土：~渿泥。
鐾	bih13	摩擦。
鐾自来火	bih13 zy21le44hou21	点火柴。
抚	bou113	①揉，抚摸：~~面孔。②抚平：拿台布~~平。
坌	ben213	用农具翻地：~地。
孛[记音]	beh13	拨：拿钟~~准。
别	bih13	①用针扣住：拿别针~一~。②回转，转过去：佗~过身就走。
掸	de213	拂（尘）。
掸灰尘	de213-13 hue32zen23	拂尘。
掸檐尘	de213-13 ye13zen21	过年前拂去房顶、四壁和屋檐下的灰尘，民间有“十七十八，越掸越发”之说。
〇[无字]	taon34	①扶：帮我拿竹头~好。②拿住，握住：拿稳：拿饭碗~~牢。
厾	toh5	丢：我拿过[kou]件衣裳~落咧。
甩	hue34	扔：去拿垃细[la si]~落。
拖	thou44	拉：~箱子。
〇[无字]	toh5	手里若干条形物直击直至整齐：拿筷~~齐。
掇	teh5	端，搬：~张矮凳过来。
得	teh5	①动词，粘贴：拿信封~~好。②形容词，粘：你个手~到。
扚	tih5	①用两个指头捏肉：~细肉。②掐（花、果实、叶子等）：去~点豌豆叶来。
敨	thei323	①展开：拿被套~开。②振，抖：拿台布拿出去~~干净。
搪	thaon44	①扶：帮我~一~。②撑，抵挡：~牢，覅让佗落下来。③挡住：你搭我~牢佗，覅让佗进来。
搨	thah5	涂抹：我搭你~点香。
搨肥皂	thah5 bi13zau21	涂肥皂。
汏	da213	洗：我~着勿得了个衣裳。
盪	daon13	冲洗，涮（杯子、碗之类）：你去拿杯子~~干净。
